xm_lf,lf2_Sfs,sqrt_h1_h2,h_wf,kn
0.1,7.0,1.2,2.0,0.0013777312952534197
0.1,7.0,1.4,0.5,0.0006945189080068545
0.1,7.0,1.4,0.6,0.0009335743292410979
0.1,7.0,1.4,0.8,0.00122044083472219
0.1,7.0,1.4,1.0,0.0014418816459707523
0.1,7.0,1.4,2.0,0.001607962254407174
0.1,7.0,1.6,0.5,0.0007994919948659062
0.1,7.0,1.6,0.6,0.001074679456866852
0.1,7.0,1.6,0.8,0.0014049044112679865
0.1,7.0,1.6,1.0,0.0016598149023846528
0.1,7.0,1.6,2.0,0.0018509977707221517
0.1,8.0,0.8,0.5,0.00030640267208429474
0.1,8.0,0.8,0.6,0.0004118673599393964
0.1,8.0,0.8,0.8,0.000538424985365518
0.1,8.0,0.8,1.0,0.0006361185909576119
0.1,8.0,0.8,2.0,0.0007093887951516825
0.1,8.0,1.0,0.5,0.00036796956413861576
0.1,8.0,1.0,0.6,0.0004946257546935739
0.1,8.0,1.0,0.8,0.0006466131833595238
0.1,8.0,1.0,1.0,0.0007639368125051692
0.1,8.0,1.0,2.0,0.0008519295343644037
0.1,8.0,1.2,0.5,0.00044741753821399846
0.1,8.0,1.2,0.6,0.0006014199517296867
0.1,8.0,1.2,0.8,0.000786222847948512
0.1,8.0,1.2,1.0,0.0009288777152051492
0.1,8.0,1.2,2.0,0.001035868865647627
0.1,8.0,1.4,0.5,0.0005221849252364971
0.1,8.0,1.4,0.6,0.0007019224900823925
0.1,8.0,1.4,0.8,0.0009176075678974676
0.1,8.0,1.4,1.0,0.0010841013121757708
0.1,8.0,1.4,2.0,0.0012089716203844984
0.1,8.0,1.6,0.5,0.0006011105856920895
0.1,8.0,1.6,0.6,0.0008080145916368305
0.1,8.0,1.6,0.8,0.0010562993987705193
0.1,8.0,1.6,1.0,0.00124795784638249
0.1,8.0,1.6,2.0,0.0013917016820914681
0.1,10.0,0.8,0.5,0.0002121249268275882
0.1,10.0,0.8,0.6,0.00028513894149650434
0.1,10.0,0.8,0.8,0.00037275575909920396
0.1,10.0,0.8,1.0,0.00044038979373988416
0.1,10.0,0.8,2.0,0.0004911153197203946
0.1,10.0,1.0,0.5,0.00025474815978827187
0.1,10.0,1.0,0.6,0.0003424332147878584
0.1,10.0,1.0,0.8,0.00044765528078736215
0.1,10.0,1.0,1.0,0.0005288793317343472
0.1,10.0,1.0,2.0,0.000589797369944586
0.1,10.0,1.2,0.5,0.00030975060337892193
0.1,10.0,1.2,0.6,0.00041636765888978264
0.1,10.0,1.2,0.8,0.0005443081255028155
0.1,10.0,1.2,1.0,0.0006430691874497181
0.1,10.0,1.2,2.0,0.0007171399839098952
0.1,10.0,1.4,0.5,0.0003615126405483436
0.1,10.0,1.4,0.6,0.0004859463392878097
0.1,10.0,1.4,0.8,0.0006352667777751691
0.1,10.0,1.4,1.0,0.0007505316776601481
0.1,10.0,1.4,2.0,0.0008369803525738827
0.1,10.0,1.6,0.5,0.00041615348240221534
0.1,10.0,1.6,0.6,0.0005593947172870358
0.1,10.0,1.6,0.8,0.0007312841991488204
0.1,10.0,1.6,1.0,0.0008639708167263383
0.1,10.0,1.6,2.0,0.0009634857799094769
0.1,14.0,0.8,0.5,4.0296133053269576e-05
0.1,14.0,0.8,0.6,5.4166178850590495e-05
0.1,14.0,0.8,0.8,7.081023380737585e-05
0.1,14.0,0.8,1.0,8.365827623015723e-05
0.1,14.0,0.8,2.0,9.329430804724345e-05
0.1,14.0,1.0,0.5,4.839301960135644e-05
0.1,14.0,1.0,0.6,6.505003721776547e-05
0.1,14.0,1.0,0.8,8.50384583574561e-05
0.1,14.0,1.0,1.0,0.00010046811678107694
0.1,14.0,1.0,2.0,0.00011204036059879262
0.1,14.0,1.2,0.5,5.8841512469831105e-05
0.1,14.0,1.2,0.6,7.909493161705551e-05
