lf2_over_Sfs,xm_over_lf,sqrt_h1_over_h2,h_over_wf,construction_y,construction_p,kn,outside_digitized_chart
2.5,0.2,1.2,0.5,3.369327594658479,1.2088989799342815,0.0011249171438159884,False
2.5,0.2,1.2,0.6,3.369327594658479,1.2088989799342815,0.0015120363277634137,False
2.5,0.2,1.2,0.8,3.369327594658479,1.2088989799342815,0.0021644948996714076,False
2.5,0.2,1.2,1.0,3.369327594658479,1.2088989799342815,0.0027742837775991177,False
2.5,0.2,1.2,2.0,3.369327594658479,1.2088989799342815,0.0032120817374676805,False
2.5,0.2,1.4,0.5,3.369327594658479,1.2792784629670668,0.001321979696307787,False
2.5,0.2,1.4,0.6,3.369327594658479,1.2792784629670668,0.0017654024666814406,False
2.5,0.2,1.4,0.8,3.369327594658479,1.2792784629670668,0.002516392314835334,False
2.5,0.2,1.4,1.0,3.369327594658479,1.2792784629670668,0.0032035986240991077,False
2.5,0.2,1.4,2.0,3.369327594658479,1.2792784629670668,0.0037821555500332413,False
2.5,0.2,1.6,0.5,3.369327594658479,1.3559946525839075,0.0015479839577517225,False
2.5,0.2,1.6,0.6,3.369327594658479,1.3559946525839075,0.00206397861033563,False
2.5,0.2,1.6,0.8,3.369327594658479,1.3559946525839075,0.002899973262919538,False
2.5,0.2,1.6,1.0,3.369327594658479,1.3559946525839075,0.003677166846020227,False
2.5,0.2,1.6,2.0,3.369327594658479,1.3559946525839075,0.004437153477479996,False
2.5,0.3,0.8,0.5,3.7036328493558863,1.1065921232910503,0.0008571395205567306,False
2.5,0.3,0.8,0.6,3.7036328493558863,1.1065921232910503,0.0011717540068604656,False
2.5,0.3,0.8,0.8,3.7036328493558863,1.1065921232910503,0.001652960616455251,False
2.5,0.3,0.8,1.0,3.7036328493558863,1.1065921232910503,0.002122189589062721,False
2.5,0.3,0.8,2.0,3.7036328493558863,1.1065921232910503,0.002476804075366456,False
2.5,0.3,1.0,0.5,3.7036328493558863,1.173350085620553,0.0010307102226134379,False
2.5,0.3,1.0,0.6,3.7036328493558863,1.173350085620553,0.0013920552825478249,False
2.5,0.3,1.0,0.8,3.7036328493558863,1.173350085620553,0.001986750428102765,False
2.5,0.3,1.0,1.0,3.7036328493558863,1.173350085620553,0.0025494405479715393,False
2.5,0.3,1.0,2.0,3.7036328493558863,1.173350085620553,0.002950785607905926,False
2.5,0.3,1.2,0.5,3.7036328493558863,1.249470005989792,0.0012385160167714179,False
