xm_lf,lf2_Sfs,sqrt_h1_h2,h_wf,kn
0.3,14,1.4,2,0.0008201
0.3,14,1.6,0.5,0.00041059
0.3,14,1.6,0.6,0.000540795
0.3,14,1.6,0.8,0.000715388
0.3,14,1.6,1,0.000847813
0.3,14,1.6,2,0.000946946
0.4,2.5,0.8,0.5,0.001555018
0.4,2.5,0.8,0.6,0.00204814
0.4,2.5,0.8,0.8,0.002709373
0.4,2.5,0.8,1,0.003210901
0.4,2.5,0.8,2,0.003586347
0.4,2.5,1,0.5,0.001859355
0.4,2.5,1,0.6,0.002448988
0.4,2.5,1,0.8,0.003239632
0.4,2.5,1,1,0.003839316
0.4,2.5,1,2,0.004288241
0.4,2.5,1.2,0.5,0.002285324
0.4,2.5,1.2,0.6,0.003010039
0.4,2.5,1.2,0.8,0.003981816
0.4,2.5,1.2,1,0.004718884
0.4,2.5,1.2,2,0.005270656
0.4,2.5,1.4,0.5,0.002646005
0.4,2.5,1.4,0.6,0.003485098
0.4,2.5,1.4,0.8,0.004610246
0.4,2.5,1.4,1,0.005463642
0.4,2.5,1.4,2,0.006102497
0.4,2.5,1.6,0.5,0.003055264
0.4,2.5,1.6,0.6,0.004024141
0.4,2.5,1.6,0.8,0.005323316
0.4,2.5,1.6,1,0.006308708
0.4,2.5,1.6,2,0.007046375
0.4,4,0.8,0.5,0.001192432
0.4,4,0.8,0.6,0.001570573
0.4,4,0.8,0.8,0.002077625
0.4,4,0.8,1,0.002462212
0.4,4,0.8,2,0.002750114
0.4,4,1,0.5,0.001425807
0.4,4,1,0.6,0.001877955
0.4,4,1,0.8,0.002484244
0.4,4,1,1,0.002944098
0.4,4,1,2,0.003288347
0.4,4,1.2,0.5,0.001752452
0.4,4,1.2,0.6,0.002308185
0.4,4,1.2,0.8,0.003053371
0.4,4,1.2,1,0.003618577
0.4,4,1.2,2,0.004041691
0.4,4,1.4,0.5,0.002029033
0.4,4,1.4,0.6,0.002672474
0.4,4,1.4,0.8,0.00353527
0.4,4,1.4,1,0.004189678
0.4,4,1.4,2,0.004679571
0.4,4,1.6,0.5,0.002342865
0.4,4,1.6,0.6,0.003085827
0.4,4,1.6,0.8,0.004082072
0.4,4,1.6,1,0.004837699
0.4,4,1.6,2,0.005403364
0.4,6,0.8,0.5,0.000828964
0.4,6,0.8,0.6,0.001091843
0.4,6,0.8,0.8,0.00144434
0.4,6,0.8,1,0.001711699
0.4,6,0.8,2,0.001911846
0.4,6,1,0.5,0.000991203
0.4,6,1,0.6,0.001305531
0.4,6,1,0.8,0.001727016
0.4,6,1,1,0.002046701
0.4,6,1,2,0.002286019
0.4,6,1.2,0.5,0.001218283
0.4,6,1.2,0.6,0.001604622
0.4,6,1.2,0.8,0.002122666
0.4,6,1.2,1,0.00251559
0.4,6,1.2,2,0.002809734
0.4,6,1.4,0.5,0.001410559
0.4,6,1.4,0.6,0.001857871
0.4,6,1.4,0.8,0.002457676
0.4,6,1.4,1,0.002912613
0.4,6,1.4,2,0.00325318
0.4,6,1.6,0.5,0.001628731
0.4,6,1.6,0.6,0.002145229
0.4,6,1.6,0.8,0.002837807
0.4,6,1.6,1,0.003363109
0.4,6,1.6,2,0.003756352
0.4,8,0.8,0.5,0.000591487
0.4,8,0.8,0.6,0.000779057
0.4,8,0.8,0.8,0.001030572
0.4,8,0.8,1,0.00122134
0.4,8,0.8,2,0.00136415
0.4,8,1,0.5,0.000707248
0.4,8,1,0.6,0.000931529
0.4,8,1,0.8,0.001232269
0.4,8,1,1,0.001460372
0.4,8,1,2,0.001631131
0.4,8,1.2,0.5,0.000869276
0.4,8,1.2,0.6,0.001144938
0.4,8,1.2,0.8,0.001514576
0.4,8,1.2,1,0.001794937
0.4,8,1.2,2,0.002004816
0.4,8,1.4,0.5,0.001006469
0.4,8,1.4,0.6,0.001325637
0.4,8,1.4,0.8,0.001753613
0.4,8,1.4,1,0.002078222
0.4,8,1.4,2,0.002321226
0.4,8,1.6,0.5,0.00116214
0.4,8,1.6,0.6,0.001530675
0.4,8,1.6,0.8,0.002024846
0.4,8,1.6,1,0.002399662
0.4,8,1.6,2,0.002680251
0.4,14,0.8,0.5,0.000328029
0.4,14,0.8,0.6,0.000432053
0.4,14,0.8,0.8,0.000571539
0.4,14,0.8,1,0.000677336
0.4,14,0.8,2,0.000756536
0.4,14,1,0.5,0.000392229
0.4,14,1,0.6,0.000516611
0.4,14,1,0.8,0.000683397
0.4,14,1,1,0.000809899
0.4,14,1,2,0.0009046
0.4,14,1.2,0.5,0.000482087
0.4,14,1.2,0.6,0.000634964
0.4,14,1.2,0.8,0.00083996
0.4,14,1.2,1,0.000995443
0.4,14,1.2,2,0.001111839
0.4,14,1.4,0.5,0.000558172
0.4,14,1.4,0.6,0.000735178
0.4,14,1.4,0.8,0.000972526
0.4,14,1.4,1,0.001152549
0.4,14,1.4,2,0.001287315
0.4,14,1.6,0.5,0.000644505
0.4,14,1.6,0.6,0.000848888
0.4,14,1.6,0.8,0.001122948
0.4,14,1.6,1,0.001330815
0.4,14,1.6,2,0.001486425
0.5,2.5,0.8,0.5,0.001689332
0.5,2.5,0.8,0.6,0.002225048
0.5,2.5,0.8,0.8,0.002943394
0.5,2.5,0.8,1,0.003488242
0.5,2.5,0.8,2,0.003896116
0.5,2.5,1,0.5,0.002019956
0.5,2.5,1,0.6,0.002660518
0.5,2.5,1,0.8,0.003519454
0.5,2.5,1,1,0.004170936
0.5,2.5,1,2,0.004658637
0.5,2.5,1.2,0.5,0.002482718
0.5,2.5,1.2,0.6,0.00327003
0.5,2.5,1.2,0.8,0.004325744
0.5,2.5,1.2,1,0.005126477
0.5,2.5,1.2,2,0.005725907
0.5,2.5,1.4,0.5,0.002874552
0.5,2.5,1.4,0.6,0.003786122
0.5,2.5,1.4,0.8,0.005008454
0.5,2.5,1.4,1,0.005935562
0.5,2.5,1.4,2,0.006629598
0.5,2.5,1.6,0.5,0.003319162
0.5,2.5,1.6,0.6,0.004371725
0.5,2.5,1.6,0.8,0.005783116
0.5,2.5,1.6,1,0.00685362
0.5,2.5,1.6,2,0.007655003
0.5,4,0.8,0.5,0.001313883
0.5,4,0.8,0.6,0.001730537
0.5,4,0.8,0.8,0.002289233
0.5,4,0.8,1,0.00271299
0.5,4,0.8,2,0.003030216
0.5,4,1,0.5,0.001571026
0.5,4,1,0.6,0.002069226
0.5,4,1,0.8,0.002737266
0.5,4,1,1,0.003243957
0.5,4,1,2,0.003623268
0.5,4,1.2,0.5,0.001930941
0.5,4,1.2,0.6,0.002543275
0.5,4,1.2,0.8,0.00336436
0.5,4,1.2,1,0.003987132
0.5,4,1.2,2,0.004453341
0.5,4,1.4,0.5,0.002235691
0.5,4,1.4,0.6,0.002944668
0.5,4,1.4,0.8,0.00389534
0.5,4,1.4,1,0.004616401
0.5,4,1.4,2,0.005156189
0.5,4,1.6,0.5,0.002581488
0.5,4,1.6,0.6,0.003400121
0.5,4,1.6,0.8,0.004497835
0.5,4,1.6,1,0.005330423
0.5,4,1.6,2,0.005953701
0.5,6,0.8,0.5,0.000949027
0.5,6,0.8,0.6,0.00124998
0.5,6,0.8,0.8,0.00165353
0.5,6,0.8,1,0.001959613
0.5,6,0.8,2,0.002188748
0.5,6,1,0.5,0.001134764
0.5,6,1,0.6,0.001494617
0.5,6,1,0.8,0.001977148
0.5,6,1,1,0.002343135
0.5,6,1,2,0.002617114
0.5,6,1.2,0.5,0.001394733
0.5,6,1.2,0.6,0.001837027
0.5,6,1.2,0.8,0.002430103
0.5,6,1.2,1,0.002879935
0.5,6,1.2,2,0.003216682
0.5,6,1.4,0.5,0.001614857
0.5,6,1.4,0.6,0.002126956
0.5,6,1.4,0.8,0.002813633
0.5,6,1.4,1,0.003334461
0.5,6,1.4,2,0.003724354
0.5,6,1.6,0.5,0.001864628
0.5,6,1.6,0.6,0.002455933
0.5,6,1.6,0.8,0.00324882
0.5,6,1.6,1,0.003850205
0.5,6,1.6,2,0.004300403
0.5,8,0.8,0.5,0.000706253
0.5,8,0.8,0.6,0.000930218
0.5,8,0.8,0.8,0.001230534
0.5,8,0.8,1,0.001458317
0.5,8,0.8,2,0.001628835
0.5,8,1,0.5,0.000844476
0.5,8,1,0.6,0.001112273
0.5,8,1,0.8,0.001471366
0.5,8,1,1,0.001743728
0.5,8,1,2,0.00194762
0.5,8,1.2,0.5,0.001037941
0.5,8,1.2,0.6,0.00136709
0.5,8,1.2,0.8,0.001808448
0.5,8,1.2,1,0.002143208
0.5,8,1.2,2,0.00239381
0.5,8,1.4,0.5,0.001201754
0.5,8,1.4,0.6,0.001582851
0.5,8,1.4,0.8,0.002093867
0.5,8,1.4,1,0.002481459
0.5,8,1.4,2,0.002771613
0.5,8,1.6,0.5,0.00138763
0.5,8,1.6,0.6,0.001827671
0.5,8,1.6,0.8,0.002417727
0.5,8,1.6,1,0.002865269
0.5,8,1.6,2,0.0032003
0.5,14,0.8,0.5,0.000447083
0.5,14,0.8,0.6,0.000588861
0.5,14,0.8,0.8,0.000778972
0.5,14,0.8,1,0.000923167
0.5,14,0.8,2,0.001031111
0.5,14,1,0.5,0.000534583
0.5,14,1,0.6,0.000704109
0.5,14,1,0.8,0.000931427
0.5,14,1,1,0.001103842
0.5,14,1,2,0.001232913
0.5,14,1.2,0.5,0.000657054
0.5,14,1.2,0.6,0.000865417
0.5,14,1.2,0.8,0.001144812
0.5,14,1.2,1,0.001356727
0.5,14,1.2,2,0.001515367
0.5,14,1.4,0.5,0.000760753
0.5,14,1.4,0.6,0.001002001
0.5,14,1.4,0.8,0.001325492
0.5,14,1.4,1,0.001570852
0.5,14,1.4,2,0.00175453
0.5,14,1.6,0.5,0.000878419
0.5,14,1.6,0.6,0.001156981
0.5,14,1.6,0.8,0.001530507
0.5,14,1.6,1,0.001813817
0.5,14,1.6,2,0.002025904
0.6,2.5,0.8,0.5,0.001823646
0.6,2.5,0.8,0.6,0.002401955
0.6,2.5,0.8,0.8,0.003177415
0.6,2.5,0.8,1,0.003765582
0.6,2.5,0.8,2,0.004205886
0.6,2.5,1,0.5,0.002180557
0.6,2.5,1,0.6,0.002872049
0.6,2.5,1,0.8,0.003799277
0.6,2.5,1,1,0.004502555
0.6,2.5,1,2,0.005029032
0.6,2.5,1.2,0.5,0.002680112
0.6,2.5,1.2,0.6,0.003530021
0.6,2.5,1.2,0.8,0.004669672
0.6,2.5,1.2,1,0.005534069
0.6,2.5,1.2,2,0.006181159
0.6,2.5,1.4,0.5,0.0031031
0.6,2.5,1.4,0.6,0.004087146
0.6,2.5,1.4,0.8,0.005406663
0.6,2.5,1.4,1,0.006407483
0.6,2.5,1.4,2,0.0071567
0.6,2.5,1.6,0.5,0.003583059
0.6,2.5,1.6,0.6,0.004719309
0.6,2.5,1.6,0.8,0.006242916
0.6,2.5,1.6,1,0.007398533
0.6,2.5,1.6,2,0.008263632
0.6,4,0.8,0.5,0.001435333
0.6,4,0.8,0.6,0.001890501
0.6,4,0.8,0.8,0.002500841
0.6,4,0.8,1,0.002963768
0.6,4,0.8,2,0.003310317
0.6,4,1,0.5,0.001716246
0.6,4,1,0.6,0.002260497
0.6,4,1,0.8,0.002990288
0.6,4,1,1,0.003543816
0.6,4,1,2,0.003958189
0.6,4,1.2,0.5,0.00210943
0.6,4,1.2,0.6,0.002778366
0.6,4,1.2,0.8,0.003675349
0.6,4,1.2,1,0.004355687
0.6,4,1.2,2,0.004864991
0.6,4,1.4,0.5,0.00244235
0.6,4,1.4,0.6,0.003216861
0.6,4,1.4,0.8,0.00425541
